grsItemDispAuth,grsItemTitle,grsItemDescription,grsItemRetention,grsItemDateApproved,grsItemRevision,grsItemCategories
GRS-2047,College student registration records,"These records document students' registrations for classes. Information includes classes added, dropped, withdrawn, and related records.","Retain for 3 years, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-2001,Public information files,"These are files of information which an agency collects on a particular topic and which relate to the agency's interaction with the public. Contents may include newspaper clippings, public opinion polls, studies and reports, or any other materials collected topically to assist the agency.","Retain for 1 year after end of project or program, and then destroy records.",1990-07-01,Current,Public Affairs
GRS-2037,Graduate student personnel records,"They records document graduate student employment with the educational institution. Information includes application, contracts , evaluations, and related records.","Retain for 7 years after expiration of contractual agreement, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-2048,Student academic records,"These records document students ' academic performance. Information includes final grades, supplemental grade changes, Master's theses and Ph.D. dissertations, graduation, and related records.",Permanent. Retain for 20 years after graduation. Records may be transferred to the archives.,2017-09-01,Current,Colleges and Universities
GRS-209,Personal property audits,"These are audits conducted on personal property by the State Tax Commission. Their results are reported to the county assessor. Information is usually more specific than that contained on the Personal Property Affidavits. The audits include the business name, address, serial number, auditor's name,property type, supply list, equipment, cost, assessed value and any additional comments.","Retain for 5 years, and then destroy records.",1991-06-01,Current,Assessor
GRS-237,Tax distribution reports,These are the monthly and yearly summary reports of appropriations of collected taxes by taxing districts.,"Retain for 3 years, and then destroy records.",1991-03-01,Current,Auditor
GRS-319,Bail commissioner's release form,"This is a form completed by the county bail commissioner indicating the payment of bail, providing for the payment and allowing for the release of prisoner. ""The county executive . . . may appoint one or more responsible and discreet members of the sheriff's department . . . as a bail commissioner . . . have authority to fix and receive bail for persons arrested in the county for misdemeanors under laws of the state; or for violation of county ordinances"" (UCA 17-32-1 (1995)). This form may also be considered as an agreement to appear for trial if prisoner is released on own recognizance. One copy is kept with prisoner's packet, one copy is sent to clerk of the court or pre-trial services, and one is sent to court.","Retain for 2 years, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-239,Final value and tax rate state report,"This is a report of property tax adjusted values and tax rates after equalization. It is submitted to the State Tax Commission by March 1 of the following year. It includes date, county code, area code, tax rate, numbers and taxable values of all centrally-assessed values (transportation and utilities), locally-assessed values (residential, commercial, industrial, and agricultural real estate and mobile homes), relief values (veterans, blind, etc.), and totals.","Retain for 4 years, and then destroy records.",1994-06-01,Current,Auditor
GRS-345,Intelligence files,"These files are a compilation of information relating to organizations or individuals that may be involved in criminal activities or enterprises. The nature of investigation leads to the collection of much unsubstantiated information. The files include case reports, media articles, documents and other records.","Retain for 1 year, and then destroy records.",1991-12-01,Current,Law Enforcement
GRS-412,Senior Center participant cards,"These are cards on all participants in senior center programs. These programs include both those held at the center and any others provided (e.g., friendly visits, homebound meals, reassurance calls). The cards record the individual's participation for four quarters. They are used to compile an annual report. They include participant's name, quarter and year, and code for services provided.","Retain for 1 year, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-425,Van driver's statement,"This is a form signed by all senior center van drivers. It is used to inform the driver of all driving policies. The statement includes a listing of driving policies, general statement on van insurance information, comments on winter driving, driver's signature and date.","Retain for 1 year after separation, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-416,Senior center emergency cards,"These are cards on all senior center members. They are used to contact senior center member's next of kin. They include member's name, address, birth date, telephone, whether they are a member, health information, name and telephone number of next of kin.","Retain for 1 year, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-598,School building inspection records,"These files document the inspections conducted by the local health agency to ensure that the school buildings and premises are safe for use by the students and school personnel. This is part of the local health agencies duties as set out in UCA? 26A-1-114(3) (2011). These inspection forms include school district's name, school type, school's name, enrollment statistics, number of class and work rooms, inspection date, inspector's name, inspector's remarks, and the results of the inspection of the grounds, school rooms, floors, walls, ceilings, chalkboards, heating, ventilation, lighting, seating, water supply, hand washing facilities, toilet facilities, locker facilities, shower rooms, and waste disposal.","Retain for 6 years, and then destroy records.",1992-12-01,Current,Health
GRS-637,Commercial exhibitors applications and contracts,"These are the applications and contracts of commercial exhibitors who want to set up a booth during a fair. The information includes name of exhibitor, how space will be used, items to be exhibited or sold, fees of contract, address, and date.","Retain for 4 years, and then destroy records.",1995-11-01,Current,Parks and Recreation
GRS-728,Elevation records,"These county geospatial records pertain to the elevation of a particular county in Utah. Digital Elevation Models (DEMs), contours, slope, and aspect are included. Digital representations of contour information known as hypsography represent lines of vertical elevation values above or below a datum surface. Light Detection and Ranging (LIDAR) data is also included.",Permanent. Retain for 1 year. Transfer records to the archives.,2010-03-01,Current,Geospatial Data Sets
GRS-408,Homebound meal reservation list,"This weekly list documents those individuals who have made reservations to receive meals at home under the Homebound Program (Meals-on-Wheels). It is used for meal planning and to create billings. The list include site, week and year, clients' names and addresses, days of week, indication which days reservations were made for delivery of meals, and a check by driver to indicate whether meal was delivered.","Retain for 1 year after final action, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-421,Title v personnel case files,"These files document the participation of persons in the Senior Service Employment Program under 20 CFR 641 (2008). This program provides for the hiring of low-income persons over the age of fifty-five. The files include income certification form, client intake form, any related correspondence, and if applicable termination forms.","Retain for 4 years after separation, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-548,Detail collections statement,"This is a monthly statement sent to the Department of Health reporting the amount of fees collected by the local health departments from patients or clients on state contracts. This statement includes the local health department name, month, the allocation of collections by contract or program type, the type of collection (vital statistics, patient fees, etc.), the amount of the collections, and the total amount collected.","Retain for 3 years after final action, and then destroy records.",1992-12-01,Current,Health
GRS-573,Infant development program (idp) case files,"These case files document the participation of children in the federal Handicapped Children's Early Education Program. This program deals with children from birth to age three. The files include the permission to evaluate form, referral/intake form, health assessment, developmental tests, feeding behaviors assessment form, reflex maturation assessment, home visit report, individual family service plan, medical records, patient release forms, family identification record, IDP roll book, and information sheets, and access to records form.","Retain for 21 years after date of birth, and then destroy records.",1992-12-01,Current,Health
GRS-424,Title xx eligibility declaration,"This form is completed by a service worker to determine whether an individual is eligible to receive services from the agency. It includes applicant's name, address, and social security number; reason for eligibility; birth date, income declaration, indication of action taken (open, close, redetermination), and applicant's and service worker's signatures.","Retain for 4 years after separation, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-555,Expenditures summary statement,"This is a monthly statement sent to the state Department of Health to bill for expenses incurred on state contracts. This statement includes the name of the local health department, month and year, allocation of expenditures by contract type, expenditure category (wages and salaries, fringe benefits, etc.), total amount of expenditures, amount of the collection received, the net amount of expenditures, and date and signature of the certifying official.","Retain for 3 years after final action, and then destroy records.",1992-12-01,Current,Health
GRS-581,"Mobile home parks, recreational parks, and roadway rest stop inspection reports","These report forms document the health department inspections of mobile home parks, recreational vehicle parks, and roadway rest stops. All deficiencies discovered must be corrected by the next routine inspection or a specified time period or facilities could be closed for noncompliance (UCA 26A-1-114 (1995)). The report form includes name of park or rest stop, city, county, health department, number of spaces occupied (independent, dependent, self-contained), secondary water source, on-site sewage disposal site, owner's/operator's name and address, type of inspection (routine, complaint, construction inspection, request, follow-up, pre-opening, survey, other), inspection results concerning water supply, wastewater disposal, service buildings, swimming and wading facilities, and solid waste disposal, any specific remarks, date, owner's or representative's signature, and sanitarian's signature.","Retain for 3 years, and then destroy records.",1992-12-01,Current,Health
GRS-607,Tanning establishment inspection records,"These forms document inspections of tanning facilities. They include owner's name, establishment's name and address, any comments, indications on facilities physical features, operation, cleaning and maintenance, certifications, advertising, any additional requirements, and inspector's signature.","Retain for 4 years, and then destroy records.",1992-12-01,Current,Health
GRS-579,"Licensed/unlicensed day care facilities, group homes, and jails inspection repo","These report forms document inspections of licensed/unlicensed day care facilities, group homes, and jails. These inspections are part of the local health departments duties as specified in UCA?26A-1-114?(1)(g) (2011). These forms include facility's name and address, operator's name, facility type, indications whether inspection identified any deficiencies in facility's structure, bathrooms, safety, plumbing, outside facilities, food service, vermin control, housekeeping and general cleanliness, managers signature and telephone number, environmental health specialist's signature and date, and an indication whether inspection approved,conditionally approved, or denied the continued operation of facility. Any identified deficiencies are required to be completed within thirty days or facility could be closed for noncompliance.","Retain for 6 years, and then destroy records.",1992-12-01,Current,Health
GRS-605,Swimming pool inspection report,"This is a report on the inspection of public swimming pools as required by Utah Code 26-15-2(2)(2007). This report form includes the pool name, pool address, owner's name, operator's name, the date and time of the inspection, the number of bathers during the inspection, inspector's name, and inspection results.","Retain for 4 years, and then destroy records.",1992-12-01,Current,Health
GRS-629,Fish request and planting records,"These records are used to document the planting of fish or mosquito fish each year, and to determine if replanting is necessary. Fish are planted in small or ornamental ponds to consume the mosquito larva. These records include date, area, address and telephone number of person requesting fish, size of pond, condition, number of fish planted, hour of day, and operator.","Retain for 2 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-673,Concrete maintenance records,"These records document the replacement of concrete maintenance necessary when the county is responsible for damage caused by county vehicles (e.g., garbage trucks, snow plows) or problems caused by storm damage or other acts of nature. Maintenance may either be done by the county or contractors through the bidding process. These records are used for budget purposes and indicate the completion of the project. They include a card file, copies of receipts, pay vouchers, contracts, bids, correspondence, extra work orders, estimates, sketch or diagram, photographs, council district information, and proof of mailing estimate.","Retain for 7 years, and then destroy records.",1994-06-01,Current,Public Works
GRS-626,Encephalitis surveillance reports,"These are blood samples and test reports submitted to the State Health Department to verify the occurrence of encephalitis in certain areas of the state. Chickens are raised in certain areas of each county and blood is drawn periodically from these birds. These test are conducted by the mosquito abatement departments and sent to the state health department for verification. This report includes test type, flock, draw number, draw date, report date, and bird number.","Retain for 5 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-697,Traffic volume counts,"These are the records from both speed and volume counters. These devices are used to document special taffic studies and regular volume counts. The regular volume count locations are undertaken annually and are used to determine traffic patterns or shifts in patterns and to determine street maintenance. Counters are usually placed for weekly intervals. The records include location, date, time, number of vehicles per hour, and possible average speed.","Retain for 3 years, and then destroy records.",1991-06-01,Current,Public Works
GRS-718,Load inspection report,"This is report on random inspections of loads of waste entering the landfill. The inspections are conducted according to a frequency contained in the permit to prevent the disposal of hazardous or PCB containing wastes in accordance with Utah Administrative Code, R315-303-5(7)(b) (2013). It includes the date, time, inspector's name, location, hauler, license number, time/transaction number; vehicle and material dumped. If hazardous or PCB containing wastes are detected, the report also includes action taken.","Retain for 3 years, and then destroy records.",1995-11-01,Current,Solid Waste
GRS-783,Municipality bond issue files,"These files document the implementation of significant municipal bonds (i.e., revenue or special bonds), but not general obligation bonds. These files include authorizations supporting financial data, contracts or sales agreements, destruction certificates, and sample copies of bonds sold as evidence of municipal indebtedness.",Retain permanently. Records may be transferred to the archives.,1996-11-01,Current,Bonds and Bonding
GRS-625,Black fly statistical records,"These records are used to verify the occurrence of respective black fly species as collected in the larvae stage by field technicians. They include collection date, collection locations, and developmental state of the black fly at each collection point.","Retain for 5 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-712,Daily landfill inspection reports,"This report is to be completed no less than quarterly by all landfill operators (Utah Administrative Code, R315-302-2(5)(a) (2013)). This inspection is completed to prevent malfunctions and deterioration, operation errors, and discharges which may cause or lead to the release of wastes to the environment or a threat to human health. It includes date, time, inspector's name; list of various items to inspect (e.g., daily cover, litter, public access, equipment, fencing, etc.) and inspector's signature.","Retain for 3 years, and then destroy records.",1995-11-01,Current,Solid Waste
GRS-793,Municipal special improvement bonds,"The governing body of the municipality levying the assessment, by ordinance or resolution, may authorize the issuance of special improvement bonds to pay costs of improvements in the district against funds created by the assessment.","Retain until final action, and then destroy records.",1989-03-01,Current,Bonds and Bonding
GRS-955,Airfield inspection files,"These files record airfield inspections made at the airport on runway conditions, fire and rescue facilities, ground vehicle control, obstructions, public protection, bird hazards, construction and other unservicable areas, wind-indicating devices, standby power system, fuel farms, lift stations and nightly inspection of lighting. They include date, time of inspection, shift, inspector's name, a checklist of items to be checked, present condition, and action taken.","Retain for 5 years, and then destroy records.",1989-07-01,Current,Airport
GRS-734,Assessment roll records,These records document real property assessments and payments.,Retain permanently. Records may be transferred to the archives.,2016-03-01,Current,"Assessor,Elected office"
GRS-946,Medical and dental insurance claim files,"These files contain medical and dental claims submitted by employees. They are used to track payment of the claims, and for cost analysis of insurance programs.","Retain for 4 years, and then destroy records.",2011-11-01,Current,Risk Management
GRS-1016,Easement files,"These files contain documents executed by property owners granting the city rights of access to their property for public works or other municipal purposes. They include the names of parties, purposes and terms of access and terms of easement. They are used to provide legal access to enter or modify private property.",Retain permanently. Transfer records to the archives.,1988-03-01,Current,Clerk
GRS-1125,Ditch flow daily records,"These records report the daily amounts delivered to various water companies. The amounts are summarized monthly and annually. They are used for litigation purposes and to verify amounts delivered. The records include name of company, date, amount of water delivered, and amount required.","Retain for 7 years after final action, and then destroy records.",1997-12-01,Current,Public Utilities
GRS-1020,Municipal election ballots and returns,These are books of tabulations counted by the election judges. They serve as the official tally of votes for municipal elections.,"Retain for 22 months, and then destroy records.",1997-12-01,Current,Clerk
GRS-1126,Environmental protection agency (epa) grant files,"These are project files maintained for monies granted to the state of Utah and then distributed to individual local government entities. The files document the expenditures of these funds. They include a detailed listing of disbursements, receipts, grant modifications, related correspondence, and a copy of the original grant (40 CFR 30.501). The State Health Department's copy is maintained permanently.","Retain for 3 years after final action, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1139,Water main charts and indexes,"These charts show the locations of all water mains, valves, hydrants, and water services to property owners in a given area.",Retain permanently. Records may be transferred to the archives.,1989-12-01,Current,Public Utilities
GRS-1160,Developer review files,"This is a duplicate set of plans submitted by developers for subdivisions, and commercial or industrial complexes. It is used to verify compliance with ordinances and design criteria for streets and alleys. They include plans and related correspondence.","Retain for 3 years after end of project or program, and then destroy records.",1989-09-01,Current,Public Works
GRS-950,Special assessment books,"These books record the levy and assessment of special taxes. They contain extension number, address, plat or subdivision; block and lot numbers; name of owner; address; number of front feet; amount paid on principle; interest; when paid; total amount paid and principal interest.",Retain permanently. Records may be transferred to the archives.,1997-06-01,Current,Special Assessment
GRS-1118,Cross connection control survey files,"These files monitor potential or actual water system health hazards within specific premises. They are used to determine compliance with state laws, schedule surveys, and to write reports. They include various reports, surveys, and related correspondence.","Retain for 3 years, and then destroy records.",1997-12-01,Current,Public Utilities
GRS-1132,Meter repair and testing files,"These records document the installation, repair, testing, and replacement of meters. They include address, work order number, date of initial installation, dates of testing and repair, and remarks.","Retain for 1 year after final action, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1145,Water flow annual recorder charts,"These charts are taken from recording stations in streams or wells for annual periods. They are used to determine water flows. The charts include water flow according to gauge flows, height, or level of aquifer in well on an annual basis.",Retain permanently. Transfer records to the archives.,1997-12-01,Current,Public Utilities
GRS-953,Special tax refund books,"These books are used to record the payment of refunds for the overpayment of special taxes. They contain the name of special tax project, extension number, page number, owner, lot number, block number, plat or subdivision, number of front feet, refund per feet, date refunded and amount, total abatement refunds, revenue, and surplus for project.","Retain for 3 years after final action, and then destroy records.",1989-03-01,Current,Special Assessment
GRS-1133,National pollutant discharge elimination system permits,"These are permits issued under the Clean Water Act permitting the discharge of specific pollutants under controlled conditions (40 CFR 122.28 (2008)). This applies to municipalities with a population of 100,000 or greater.",Retain permanently. Records may be transferred to the archives.,1997-12-01,Current,Public Utilities
GRS-1153,Driver and route check list,"These files contain an annual evaluation form completed on each garbage truck driver to show driving ability and knowledge of street routes. They include name of driver, date, vehicle number, route number, list of vehicle equipment to be checked before starting engine, list of items to be checked at completion of shift, results of road test, and comments concerning attitude, cooperation, route appearance, etc.","Retain for 2 years after until separation, and then destroy records.",1989-09-01,Current,Public Works
GRS-1221,Dispatch logs,"This is a daily log maintained on all dispatch activity. It is used for budget and planning purposes and to document activities of the dispatch office. It includes names of personnel working, time, shift, and a summary of daily events.","Retain for 2 years, and then destroy records.",1997-12-01,Current,Fire Department
GRS-1140,Water stock purchase records,These records document municipal purchase of water stock from irrigation companies and/or individuals. Each year the municipality is billed for the annual assessment of water stock. These records are used to verify purchase and for yearly assessment purposes.,"Retain for 10 years, and then destroy records.",1997-12-01,Current,Public Utilities
GRS-1288,Bond registration files,These are the issuing agent's copies of bond registration stubs.,"Retain for 3 years after final action, and then destroy records.",1996-12-01,Current,Bonds and Bonding
GRS-1413,Annual school lunch and breakfast statistical report,"This is the annual statistical report on the school lunch, special milk, and breakfast programs submitted to the State Child Nutrition Section. It is used to create the state annual report and to comply with federal requirements. Includes district number; period covered; number of institutions in lunch and breakfast programs; average number of days lunch served; variations in number of days schools served lunch; reduced price charged to students for lunch; total number of reimbursable student lunches claimed (free, reduced, paid); average number of days breakfasts served; variations in number of days schools served breakfast; reduced price charge to student for breakfast; total number of reimbursable student breakfasts claimed for regular and severe need (free, reduced, paid); title and the reporter's signature. The Schedule A form is submitted with the annual policy indicating each school's percent of free and reduced price lunch participation in the second preceding year. If the school served at least forty percent free and reduced meals then that school qualifies for severe need breakfast reimbursement. Qualifying schools are entitled to additional breakfast program disbursement federal funding. Summer programs qualify if the percentage of free and reduced lunches are at least fifty percent of lunches served. The State Child Nutrition's copy is retained for ""3 years after final status report is filed with the U.S. Department of Agriculture"" in accordance with 7 CFR 210.23 (1995).?","Retain for 3 years, and then destroy records.",1997-06-01,Current,"Education,Food Service"
GRS-1156,Monthly weight reports,"This is a graph showing amount of refuse collected per day, week, month, and the percentage of time used for collection. The graph is used for budget purposes and evaluation of tonnage for each route. They include frequency of pickups at scalehouse, time estimated, arrival time, and total tonnage collected per month with average collected per truck.","Retain for 2 years, and then destroy records.",1989-09-01,Current,Public Works
GRS-1494,Homeless student report,"This report documents homeless students attending schools within the district. UCA 53A-11-101 (2007) requires minors between the ages of six and eighteen to attend school during the school year while UCA 53A-2-201(3) (1997) makes each school district responsible for providing education services for all school age children within the district. The State Office of Education distributes monies from the federal Homeless Children and Youth program (34 CFR 74) to ensure that a child's education is not needlessly disrupted because of homelessness. The report includes Student's name, reasons for homelessness, date, month, and student's address.","Retain for 2 years, and then destroy records.",1998-10-01,Current,Education
GRS-1525,School food production record sheet,"This sheet is prepared daily by the school food service for all meals served. It is used to plan meals and to determine menu items needed for meal preparation. The sheet contains the menu items, portion sizes, meal compliance, planned amount and actual amount of food used, vitamin and iron usage, number planned for and number actually served, and tray count.","Retain for 3 years, and then destroy records.",1999-06-01,Current,Education
GRS-1364,Prior payment report,"This report lists all payments made to individual vendors. The report includes vendor number and name, 1099 flag (for purchases over $600 which require an Internal Revenue Service form), purchase order number, invoice number, account number, check number, and check date.","Retain for 3 years, and then destroy records.",1996-08-01,Current,Purchasing
GRS-1464,New hire registry report,"This report is required to be submitted to the Utah State Department of Workforce Services on all district new hires in accordance with the Personal Responsibility and Work Opportunity Act. This information is used to create a State New Hire Registry to match against existing child support records to locate parents, establish an order or enforce an existing order. Once these matches are made, the State will transmit the New Hire reports to the National Directory of New Hires (NDDH) which allows the Office of Child Support Enforcement to be able to assist States in locating parents on a national level. The reports include employee name, social security number, mailing address; employer name, federal employer identification number, mailing number; employee date of hire or rehire; employee occupational title; and full-time or part-time employment status. The report is submitted with the employee's W-4 form within twenty days of new employment. The report may be submitted by paper or elect ronic medium.","Retain for 1 year, and then destroy records.",1998-05-01,Current,Human Resources
GRS-1516,Bus transportation request,"This form is used to request buses for special activities and school trips. The school retains a copy of the form and submits a copy to the district's Transportation Department. These requests are submitted prior to the activity (per district policy) for bus scheduling and driver's assignment. The form includes date, requesting school, destination, date needed, projected departure and return times, nature of trip, and approval signatures.","Retain for 2 years, and then destroy records.",1999-06-01,Current,Education
GRS-1416,Free and reduced meals annual policy agreement,"This agreement policy is a legal contract between the state and local districts participating in the Child Nutrition Programs. After 1997 a permanent agreement would be initially made, followed by an annual extension document updating current signatures and information. It includes the prototype free and reduced price policy, changes, and current benefit application. Copies of the free and reduced price meal policies must also be maintained at each school. The state's copy is maintained for 3 years after formal status report is filed with U.S. Department of Agriculture in accordance with 7 CFR 210.23(c) (1995).","Retain for 3 years, and then destroy records.",1997-06-01,Current,Food Service
GRS-1487,Student visa case files,"These files document foreign students attending district schools. Students must be certified eligible to attend an authorized school in the United States and have a valid student visa. All fees must be paid before admission. These files include student's name, local address, Form I-20 (school copy), home country, admission number, Immigration and Naturalization (INS) number, district information, school attendance, type of study, cost to the United States, payment schedule, visa information, immunization information, payment agreement, student form, school transcripts, affidavit of financial support from family, application for admission, and host family agreement.","Retain for 4 years, and then destroy records.",1998-10-01,Current,Education
GRS-1519,Teacher career ladder files,"These files document the career ladder process at the elementary school. They are used by the school principal to review the teachers' goals and accomplishments and to evaluate their teaching abilities. The school principal meets with each teacher on a regular basis to discuss their career ladder and teaching goals. These files include: the results of inventories taken on prerequisite skills, goals for the teachers and the school, various test results (including the California Achievement Test), teaching and observation results. The district normally maintains the official copies of all career ladder records.","Retain for 3 years, and then destroy records.",1999-06-01,Current,Education
GRS-1495,Monthly homeless children and youth statistical report,This monthly report is submitted to the State Office of Education (USOE) on homeless children and youth served by the district. It is used to document the utilization of federal Education for Homeless Children and Youth Grants distributed by USOE. The report includes number of homeless children and youth served and how homeless funds were being used.,"Retain for 2 years, and then destroy records.",1998-10-01,Current,Education
GRS-1506,Graduation and transcripts,Official transcripts document students' graduation from high school and verify classes attended and credits earned. Transcripts should note suspension and expulsion from school. Transcripts of students who did not graduate are included in this schedule.,Permanent. Retain for 40 years after separation. Transfer records to the archives.,2017-09-01,Current,Education
GRS-1726,Executive internal committee records,"These records document meetings of boards, committees, or teams that have no statutory authority to make public policy decisions, but do have authority to make internal policy decisions. Information includes the determinations and actions of the meeting.",Retain permanently. Transfer records to the archives.,2015-12-01,Current,"Administrative,Meeting Minutes"
GRS-1872,Public transit records,"These records document bus activity and ridership. Information includes driver manifests, passenger counts, paratransit services, routes, and related records.","Retain for 3 years, and then destroy records.",2015-12-01,Current,Motor Vehicle
GRS-1877,State employee benefit matching money report,Listing of state matching funds paid to employee retirement and referenced by low organization number.,"Retain for 3 years, and then destroy records.",1990-07-01,Current,Payroll
GRS-1967,Grievance records,Initial documentation responding to working condition grievances that result in any type of investigation for possible personnel or administrative action.,"Retain for 3 years, and then destroy records.",2015-07-01,Current,Human Resources
GRS-2018,Security guard records,"Records of guard assignments and service. Records include reports of rounds and other checks made during shifts, as well as logs of occurrences of unusual activity. Records also detail personnel matters associated with assigning guards to shifts.","Retain for 5 years, and then destroy records.",1990-07-01,Current,Security Services
GRS-1721,Legal counsel records,"These are legal interpretations given by attorneys at the request of governmental entities asking for guidance in enforcing, obeying, and/or interpretation of the law.","Retain until resolution of issue, and then destroy records.",2015-06-01,Current,Administrative
GRS-1837,Warrant/check - lost,"Legal documentation explaining and justifying a lost warrant, so that a new one can be issued.","Retain for 4 years, and then destroy records.",1990-07-01,Current,Financial Management
GRS-1889,Preliminary payroll files,"Computer-produced, two part documents sent by Finance to agencies to record final corrections or adjustments regarding employees' pay. They are made before the master payroll file is run and checks are issued. Preliminary payroll files do not serve as time and attendance records.","Retain for 1 year, and then destroy records.",1990-07-01,Current,Payroll
GRS-1923,State employee financial disclosure reports,Reports and related documents submitted by individuals as required under the Public Officers' and Employees' Ethics Act.,"Retain for 5 years, and then destroy records.",1990-07-01,Current,Human Resources
GRS-1766,Computer utilization and billing reports,Records showing computer use by each agency and any charges for space or time.,"Retain for 5 years, and then destroy records.",1990-07-01,Current,Data Processing
GRS-2041,Higher education admitted student application records,"These records document admitted students' applications to the educational institution. Information may include visas, admission test, and proofs of financial support, high school transcripts, and related records.","Retain for 5 years after graduation or separation, and then destroy records.",2017-09-01,Current,"Colleges and Universities,Education"
GRS-1976,Canceled solicitation files,"Formal solicitations of offers to provide products or services (e.g., invitations for bids, requests for proposals, requests for quotations) which were canceled prior to the awarding of a contract. Information includes presolicitation documentation on the requirement, offers opened prior to cancellation, documentation on government action up to the time of cancellation, and evidence of cancellation.","Retain for 4 years after final action, and then destroy records.",2005-12-01,Current,Purchasing
GRS-2026,Suicide investigation files,"These case files are created as a result of a suicide investigation. These files may include the investigative report, supplemental reports, photographs, correspondence, officer's notes, and pertinent laboratory tests and related records.",Retain permanently. Records may be transferred to the archives.,2015-05-01,Current,"Law Enforcement,Legal"
GRS-2042,Educational advising records,These records document the interactions between students and advisors regarding education requirements and planning.,"Retain for 5 years after separation, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-2050,Museum catalog records,"These records document the planning, preservation, and contents of collections and exhibitions. Included are inventories, finding aids, loans and donations, and related information.",Retain permanently. Records may be transferred to the archives.,2017-03-01,Current,Intrinsically Historical
GRS-1909,Testing materials,"Tests taken by applicants who have met the minimum requirements for a state position. Includes tests, test keys, applicants' answer sheets, test scores, and any other documents related to the testing process.","Retain for 3 years, and then destroy records.",2006-04-01,Current,Human Resources
GRS-2044,Student athletic records,These records document student eligibility and participation in athletic clubs and teams. They are used to monitor students athletes' medical histories during their association with the college or university athletic program.,"Retain for 5 years after separation, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-213,Property information report,"This are lists of all parcels within the county. The report includes serial number, owner's name, address, taxing district and land description.","Retain for 2 years after superseded, and then destroy records.",1991-06-01,Current,Assessor
GRS-1138,Water consumption monthly reports,"These reports consist of monthly statistics of daily water consumption. They are used for research and litigation purposes and to assist in predicting future flows and peak demands. The reports include water consumption in million gallons, and cubic feet from treatment plants, springs, artesian wells, pumped wells, and reservoirs along with precipitation amounts.","Retain for 1 year after completion of publication or report, and then destroy records.",1997-12-01,Current,Public Utilities
GRS-1420,Verification report,"This is an annual report submitted to the Office of Education's Child Nutrition Programs to verify accuracy of income levels and number of children served with free and reduced meals. The report includes district name, date, total number of free/reduced price applications on file as of October 31, the percent sample of children selected (depending on the type of verification used), how selection was made (computer or random number table), total applications needed for verification purposes, total applications actually verified, total applications with no change in status, total applications changed category, total applications terminated because applicants failed to respond to survey, whether verification completed by December 15, and signature. The summary tracking verification form from each school includes application number, head of household selected for verification, whether free or reduced, number of children, indication of any change, date, any comments, totals, signature of verifying official, and dates report completed and submitted to State.","Retain for 3 years, and then destroy records.",1997-06-01,Current,Food Service
GRS-1520,Student daily meal payment report,"These reports document the daily collection of payments for meal service. This report records deposits made to the lunch and breakfast funds. It includes the student's name, identification number, amount received, account balance, and total student sales.","Retain for 1 year, and then destroy records.",1999-06-01,Current,Education
GRS-1540,School monthly meals served report,"This is a monthly report of all meals served. Copies of the report are submitted to the district's food service manager. The reports include date, daily number of meals paid, number of reduced meals served, number of free meals served, total meals served to children, number of meals served to adults, paid meals, total meals, total enrollment, monthly totals, and total dollar values.","Retain for 1 year, and then destroy records.",1999-06-01,Current,Education
GRS-1171,Trouble control report,"This report is generated by telephone calls from private citizens or police departments concerning traffic signals that require repairs. Report is necessary for verification in litigation cases. It includes location, name of person reporting, date, time, report of trouble, description of trouble found, repair made, by whom, time arrived and time completed.","Retain for 7 years, and then destroy records.",1989-09-01,Current,Public Works
GRS-1490,Early graduation certificates,"These records document the issuance of certificates to students graduating early from high school in accordance with UCA 53A-15-102 (1997). This program allows flexibility in high school graduation to appropriately meet individual student's needs. If a student graduates any time following the eleventh grade year and enters a Utah post-secondary institution, the district shall receive a reimbursement designated for the public high school from which the student graduated early. The post-secondary institution receives an Early Graduation Centennial Scholarship Certificate signed by the high school principal entitling the early graduate to a partial tuition scholarship following the date of graduation according to the schedule established by, Utah Administrative Code, Rule 277-703-2 (2013). These records include school district; high school name; telephone number; student's name, social security number, address, and telephone number.","Retain for 1 year, and then destroy records.",1998-10-01,Current,Education
